ranking,item_name,star_rating,review_count,price
#49,"PICTEK Gaming Mouse Wired [7200 DPI] [Programmable] [Breathing Light] Ergonomic Game USB Computer Mice RGB Gamer Desktop Laptop PC Gaming Mouse, 7 Buttons for Windows 7/8/10/XP Vista Linux, Black",4.6 out of 5 stars,"1,082",$13.99
#50,Xbox Game Pass Ultimate: 1 Month Membership [Digital Code],4.8 out of 5 stars,"14,665",$14.99
#51,"Charger for Nintendo Switch, AC Adapter for Nintendo Switch - Fast Travel Wall Charger with 5FT USB Type C Cable 15V/2.6A Power Supply for Nintendo Switch Supports TV Mode and Dock Station",4.7 out of 5 stars,"4,070",$16.99
#52,Razer Viper Mini Ultralight Gaming Mouse: Fastest Gaming Switches - 8500 DPI Optical Sensor - Chroma RGB Underglow Lighting - 6 Programmable Buttons - Drag-Free Cord - Classic Black,4.7 out of 5 stars,"13,478",$29.99
#53,"Redragon K552 Mechanical Gaming Keyboard RGB LED Rainbow Backlit Wired Keyboard with Red Switches for Windows Gaming PC (87 Keys, Black)",4.4 out of 5 stars,"24,341",$31.99
#54,"Apex Legends - 1,000 Apex Coins [Online Game Code]",3.9 out of 5 stars,"1,082",$9.99
#55,[3 Pack] Hestia Goods Tempered Glass Screen Protector for Nintendo switch - Transparent HD Clear Anti-Scratch Screen Protector for Nintendo Switch,4.8 out of 5 stars,"14,659",$5.99
#56,"SanDisk 256GB microSDXC Card, Licensed for Nintendo Switch - SDSQXAO-256G-GNCZN",4.9 out of 5 stars,"125,981",$45.99
#57,YCCTEAM Wireless Game Controller Compatible with PS-4 Console/iOS 13 /Android 10 /MAC/PC (White),3.8 out of 5 stars,"4,086",$31.95
#58,Hori Nintendo Switch Split Pad Pro (Red) Ergonomic Controller for Handheld Mode - Officially Licensed By Nintendo - Nintendo Switch,4.6 out of 5 stars,"15,886",$38.20
#59,Nintendo Switch with Neon Blue and Neon Red Joy‑Con - HAC-001(-01),4.9 out of 5 stars,"78,602",$364.75
#60,VALORANT $25 Gift Card - PC [Online Game Code],4.6 out of 5 stars,"3,202",$25.00
#61,"Razer Kraken X Ultralight Gaming Headset: 7.1 Surround Sound - Lightweight Aluminum Frame - Bendable Cardioid Microphone - PC, PS4, PS5, Switch, Xbox One, Xbox Series X & S, Mobile - Black",4.4 out of 5 stars,"14,940",$49.99
#62,Kandagawa Jet Girls - Racing Hearts Edition (Day 1) - PlayStation 4,4.8 out of 5 stars,471,$60.49
#63,VALORANT $10 Gift Card - PC [Online Game Code],4.6 out of 5 stars,"3,202",$10.00
#64,Playstation Plus: 3 Month Membership [Digital Code],4.8 out of 5 stars,"14,366",$24.99
#65,FIFA 20 Ultimate Team Points 100 [Online Game Code],2.3 out of 5 stars,5,$0.99
#66,"NPET K10 Gaming Keyboard USB Wired Floating Keyboard, Quiet Ergonomic Water-Resistant Mechanical Feeling Keyboard, Ultra-Slim Rainbow LED Backlit Keyboard for Desktop, Computer, PC",4.6 out of 5 stars,"13,002",$14.45
#67,"[3 Pack] Screen Protector Tempered Glass for Nintendo Switch, iVoler Transparent HD Clear Anti-Scratch Screen Protector Compatible Nintendo Switch",4.8 out of 5 stars,"26,465",$6.95
#68,Xbox Wireless Controller - Shock Blue,4.7 out of 5 stars,"8,379",$59.00
#69,"PowerA Spectra Enhanced Illuminated Wired Controller for Xbox One, gamepad, wired video game controller, gaming controller, Xbox One, works with Xbox Series X|S",4.4 out of 5 stars,"19,066",$39.99
#70,Xbox Game Pass Ultimate: 3 Month Membership [Digital Code],4.8 out of 5 stars,"14,665",$39.99
#71,Turtle Beach Ear Force Recon 50x Stereo Gaming Headset for Xbox One & Xbox Series X|S (Compatible with Xbox controller with 3.5mm Headset Jack) PlayStation 5 & PS4,4.4 out of 5 stars,"30,319",$24.95
#72,Luigi's Mansion 3 - Nintendo Switch,4.8 out of 5 stars,"21,346",
#73,UGREEN Ethernet Adapter USB 2.0 to 10 100 Network RJ45 LAN Wired Adapter Compatible for Nintendo Switch Wii Wii U MacBook Chromebook Windows Mac OS Surface Linux ASIX AX88772 Chipset Black,4.6 out of 5 stars,"18,218",$9.99
#74,"Gaming headset for PS4 Xbox one PS5 controller, Beexcellent Newest Deep Bass Stereo Sound Over Ear Headphone with Noise Isolation LED Light for PC Laptop Tablet Mac (Blue)",4.5 out of 5 stars,"29,995",$15.56
#75,Titanfall 2: Ultimate Edition - Xbox One [Digital Code],4.7 out of 5 stars,300,$2.99
#76,"PowerA FUSION Pro Wired Controller for Xbox One - Black, Gamepad, Wired Video Game Controller, Gaming Controller, Xbox One, Works with Xbox Series X|S",4.5 out of 5 stars,"8,400",$60.99
#77,Ratchet & Clank: Rift Apart Launch Edition - Playstation 5,,,$69.88
#78,"KontrolFreek FPS Freek Galaxy Purple for PlayStation 4 (PS4) and PlayStation 5 (PS5) | Performance Thumbsticks | 1 High-Rise, 1 Mid-Rise | Purple",4.6 out of 5 stars,"15,758",$14.99
#79,Oculus Quest 2 Elite Strap for Enhanced Support and Comfort in VR,4.3 out of 5 stars,"6,370",$49.00
#80,"MOVONE Wireless Controller Dual Vibration Game Joystick Controller for PS4/ Slim/Pro,Compatible with PS4 Console (White+Black)",3.8 out of 5 stars,868,$29.99
#81,Mass Effect Legendary - Xbox Series X [Digital Code],5.0 out of 5 stars,2,$59.99
#82,League of Legends $10 Gift Card - NA Server Only [Online Game Code],4.7 out of 5 stars,"5,585",$10.00
#83,"BENGOO KM-1 Wireless Gaming Mouse, Computer Mouse with Honeycomb Shell, 6 Programmed Buttons, 3 Adjustable DPI, Silent Click, USB Receiver, Ergonomic RGB Optical Gamer Mice Mouse for Laptop PC Mac",4.4 out of 5 stars,"1,545",$24.99
#84,"Logitech G600 MMO Gaming Mouse, RGB Backlit, 20 Programmable Buttons",4.5 out of 5 stars,"10,852",$31.99
#85,Logitech G Pro Wireless Gaming Mouse with Esports Grade Performance,4.7 out of 5 stars,"6,413",$113.49
#86,"PS4 Controller Charger Charging Cable 10ft 2 Pack Nylon Braided Extra Long Micro USB 2.0 High Speed Data Sync Cord Compatible for Playstaion 4, PS4 Slim/Pro, Xbox One S/X Controller, Android Phones",4.6 out of 5 stars,"7,170",$9.99
#87,Biomutant - PlayStation 4 Standard Edition,,,$59.99
#88,Minecraft (Nintendo Switch),4.8 out of 5 stars,"20,858",$33.50
#89,Super Mario Party,4.8 out of 5 stars,"19,002",$55.95
#90,Nintendo Switch Online 12-Month Individual Membership [Digital Code],4.8 out of 5 stars,"14,794",$19.99
#91,Xbox Live Gold: 3 Month Membership [Digital Code],4.7 out of 5 stars,"65,033",$24.99
#92,"AC Power Cord Compatible Xbox One S, Xbox One X, Xbox Series X / S, Sony PS3 / PS4 / PS5 Playstation 4 Slim, PSP, PSV Supply Cable Replacement",4.8 out of 5 stars,"5,587",$8.99
#93,League of Legends $25 Gift Card - NA Server Only [Online Game Code],4.7 out of 5 stars,"5,585",$25.00
#94,Razer DeathAdder Essential Gaming Mouse: 6400 DPI Optical Sensor - 5 Programmable Buttons - Mechanical Switches - Rubber Side Grips - White,4.7 out of 5 stars,"25,548",$29.99
#95,DualShock 4 Back Button Attachment - PlayStation 4,4.6 out of 5 stars,"8,471",$19.99
#96,"iVoler Carrying Storage Case for Nintendo Switch, Portable Travel All Protective Hard Messenger Bag Soft Lining 18 Games for Switch Console Pro Controller & Accessories Black",4.8 out of 5 stars,"9,389",$23.79
#97,Xbox Series S,4.7 out of 5 stars,"3,224",
#98,"Quest Link Cable 16ft, VOKOO Oculus Quest Link Cable, High Speed Data Transfer & Fast Charging USB C Cable Compatible for Oculus Quest Headset and Gaming PC",4.3 out of 5 stars,"3,742",$29.99
#99,Tomee AC Adapter for New Nintendo 3DS/ New Nintendo 2DS XL/ New Nintendo 3DS/ New Nintendo 3DS XL/ Nintendo 2DS/ Nintendo 3DS XL/ Nintendo 3DS/ Nintendo DSi XL/ Nintendo Dsi,4.7 out of 5 stars,"8,597",$4.99
#100,"HyperX Cloud Stinger – Gaming Headset, Lightweight, Comfortable Memory Foam, Swivel to Mute Noise-Cancellation Microphone, Works on PC, PS4, PS5, Xbox One, Xbox Series X|S, Nintendo Switch and Mobile",4.4 out of 5 stars,"22,459",$40.99
